benchmark,target,world_model,world_model_checkpoint,harness,rollout_mode,config_model_name,runs,tasks,expected_tasks_per_run,task_completeness,critic_fire_rate,avg_tool_calls,avg_failed_tool_calls,avg_unnecessary_tool_calls,avg_wm_steps,avg_wm_calls,avg_advice_injections,avg_terminal_advice_injections,avg_replans,avg_replans_with_plan,avg_beam_plan_steps,avg_imagined_plan_steps,avg_planning_llm_calls,avg_critic_checks,avg_critic_fires,avg_action_overrides,avg_refinement_rounds,avg_refinement_score_passes,avg_revisions,avg_reference_injections,avg_judge_calls,avg_wm_model_calls,source_files
DevOps-Gym,devops_100_test,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,beam_critic,open_loop,wm_agent1,1,100,100,1.0,,31.9158,1.0105,1.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-DevOps-Gym-beam-critic-separate-20260914T014229Z.json
DevOps-Gym,devops_100_test,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,beam_critic,closed_loop,wm_agent,1,100,100,1.0,,32.1789,1.0421,1.0421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-devopsgym-jepa-20260911T035143Z.json
DevOps-Gym,devops_100_test,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,beam_interval,closed_loop,wm_agent,1,100,100,1.0,,35.2526,1.0526,1.0526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-devopsgym-jepa-20260911T035143Z.json
DevOps-Gym,devops_100_test,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,itp_i,closed_loop,wm_agent,1,100,100,1.0,,29.4688,1.0938,1.0938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-devopsgym-jepa-20260911T035143Z.json
DevOps-Gym,devops_100_test,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,revision,closed_loop,wm_agent,1,100,100,1.0,,34.7053,1.0947,1.0947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-devopsgym-jepa-20260911T035143Z.json
DevOps-Gym,devops_100_test,LLM-WM (state output),llm_wm_beam_action_terminal_crmarenapro,beam_interval,closed_loop,,1,100,100,1.0,,34.2105,0.9368,0.9368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-devops-llm-wm-20260913T184745Z.json
DevOps-Gym,devops_100_test,LLM-WM (state output),llm_wm_beam_action_terminal_crmarenapro,itp_i,closed_loop,,1,100,100,1.0,,32.4878,1.0244,1.0244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-devops-gym-llm-wm-20260912T042520Z.json
DevOps-Gym,devops_100_test,LLM-WM (tool output),world_model,beam_interval,closed_loop,,1,100,100,1.0,,14.5474,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-enterpriseops-agentworld-20260907T072841Z.json
DevOps-Gym,devops_100_test,LLM-WM (tool output),world_model,itp_i,closed_loop,,1,100,100,1.0,,33.5625,1.0938,1.0938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-enterpriseops-agentworld-20260907T072841Z.json
EnterpriseOps-Gym,opsgym_80_test,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,beam_critic,closed_loop,,3,240,80,1.0,0.1088,11.7833,0.9583,0.9583,10.6583,9.6875,1.8125,17.0917,4.9542,2.2458,10.6583,8.9208,8.95,9.6875,1.0542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-enterpriseopsgym-jepa-20260911T061213Z.json;ejepa-wm-harnesses-enterpriseopsgym-jepa-separate-20260913T035007Z.json;ejepa-wm-harnesses-wm-harnesses-20260903T200318Z.json
