benchmark,world_model,harness,rollout_mode,runs,success_rate_pct,success_rate_stdev,mean_task_seconds,total_tasks,on_pareto_front,summary_files
DevOps-Gym,LLM-WM (tool output),itp_i,closed_loop,1,18.0,0.0,371.14158000000003,100,True,ejepa-wm-harnesses-enterpriseops-agentworld-20260907T072841Z.json
DevOps-Gym,Enterprise-JEPA,itp_i,closed_loop,1,10.0,0.0,535.16407,100,False,ejepa-wm-harnesses-devopsgym-jepa-20260911T035143Z.json
DevOps-Gym,LLM-WM (state output),beam_interval,closed_loop,1,9.0,0.0,539.4784999999999,100,False,ejepa-wm-harnesses-devops-llm-wm-20260913T184745Z.json
DevOps-Gym,LLM-WM (state output),itp_i,closed_loop,1,7.000000000000001,0.0,263.75781,100,True,ejepa-wm-harnesses-devops-gym-llm-wm-20260912T042520Z.json
DevOps-Gym,Enterprise-JEPA,beam_critic,open_loop,1,5.0,0.0,361.0597,100,False,ejepa-wm-harnesses-DevOps-Gym-beam-critic-separate-20260914T014229Z.json
DevOps-Gym,Enterprise-JEPA,beam_interval,closed_loop,1,5.0,0.0,504.98848,100,False,ejepa-wm-harnesses-devopsgym-jepa-20260911T035143Z.json
DevOps-Gym,Enterprise-JEPA,beam_critic,closed_loop,1,5.0,0.0,712.80877,100,False,ejepa-wm-harnesses-devopsgym-jepa-20260911T035143Z.json
DevOps-Gym,Enterprise-JEPA,revision,closed_loop,1,5.0,0.0,359.83976,100,False,ejepa-wm-harnesses-devopsgym-jepa-20260911T035143Z.json
DevOps-Gym,LLM-WM (tool output),beam_interval,closed_loop,1,1.0,0.0,813.5693399999999,100,False,ejepa-wm-harnesses-enterpriseops-agentworld-20260907T072841Z.json
EnterpriseOps-Gym,Enterprise-JEPA,itp_i,closed_loop,3,41.25,5.448623679425842,102.89370416666667,80,False,ejepa-wm-harnesses-enterpriseopsgym-jepa-20260911T061213Z.json;ejepa-wm-harnesses-enterpriseopsgym-jepa-separate-20260912T205112Z.json;ejepa-wm-harnesses-wm-harnesses-20260903T200318Z.json
