setting,world_model,backend,horizon,candidates,seconds_per_call,seconds_per_call_stdev,repeats,source
hf,Enterprise-JEPA,transformers,1,8,0.055579034890979526,0.02406945929965194,10,wm_latency_jepa.json
hf,Enterprise-JEPA,transformers,2,8,0.05226610954850912,0.003741242373303264,10,wm_latency_jepa.json
hf,Enterprise-JEPA,transformers,4,8,0.0600658112205565,0.0031697624542953774,10,wm_latency_jepa.json
hf,Enterprise-JEPA,transformers,8,8,0.07648146888241172,0.002843070140686126,10,wm_latency_jepa.json
hf,LLM-WM (state output),transformers,1,8,3.026069782860577,1.0844705924995872,5,wm_latency_llm_state.json
hf,LLM-WM (state output),transformers,2,8,3.891615381091833,0.19262295589829959,5,wm_latency_llm_state.json
hf,LLM-WM (state output),transformers,4,8,6.806641141325235,1.373798750205611,5,wm_latency_llm_state.json
hf,LLM-WM (state output),transformers,8,8,12.10636609122157,1.6213453457720273,5,wm_latency_llm_state.json
production,Enterprise-JEPA,transformers,1,8,0.012682124972343445,0.00012263602754982857,5,wm_latency_jepa_compiled_h1234.json
production,Enterprise-JEPA,transformers,2,8,0.015373614616692066,0.00018167499524738724,5,wm_latency_jepa_compiled_h1234.json
production,Enterprise-JEPA,transformers,3,8,0.01779551599174738,5.3510122184537743e-05,5,wm_latency_jepa_compiled_h1234.json
production,Enterprise-JEPA,transformers,4,8,0.020805963315069675,0.0002757668486618994,5,wm_latency_jepa_compiled_h1234.json
production,Enterprise-JEPA,transformers,8,8,0.03492535315454006,0.0020847150610337714,5,wm_latency_jepa_compiled_h8.json
production,LLM-WM (state output),vllm,1,8,0.15886903628706933,0.0041162620378550506,5,wm_latency_llm_state_vllm.json
production,LLM-WM (state output),vllm,2,8,0.30022821854799986,0.007030038735290622,5,wm_latency_llm_state_vllm.json
production,LLM-WM (state output),vllm,3,8,0.48984522502869365,0.04301011597517499,5,wm_latency_llm_state_vllm.json
production,LLM-WM (state output),vllm,4,8,0.6618318445980549,0.056190833908825503,5,wm_latency_llm_state_vllm.json
production,LLM-WM (state output),vllm,8,8,1.571443859487772,0.05514044297903014,5,wm_latency_llm_state_vllm_h8.json
