world_model,candidates,horizon,seconds_per_call,predicted_tokens_per_call
Enterprise-JEPA,8,1,0.055579034890979526,
Enterprise-JEPA,8,2,0.05226610954850912,
Enterprise-JEPA,8,4,0.0600658112205565,
Enterprise-JEPA,8,8,0.07648146888241172,
Enterprise-JEPA,128,1,0.10265858906010787,
Enterprise-JEPA,128,2,0.0871190515657266,
Enterprise-JEPA,128,3,0.10227562797566254,
Enterprise-JEPA,128,4,0.11799911223351955,
Enterprise-JEPA,128,6,0.1567286904901266,
Enterprise-JEPA,128,8,0.1866214241211613,
Enterprise-JEPA,128,10,0.22330765022585788,
Enterprise-JEPA,32,3,0.09536692469070356,
Enterprise-JEPA,32,10,0.11292016475150983,
Enterprise-JEPA,512,3,0.33654569399853546,
Enterprise-JEPA,512,10,0.8357107245052854,
Enterprise-JEPA,8,1,0.06973726423457265,
Enterprise-JEPA,8,2,0.07439367305487395,
Enterprise-JEPA,8,3,0.0873583742417395,
Enterprise-JEPA,8,4,0.10124301519244909,
Enterprise-JEPA,8,8,0.09455380551517009,
LLM-WM (state output),8,1,0.15886903628706933,376.0
LLM-WM (state output),8,2,0.30022821854799986,752.0
LLM-WM (state output),8,3,0.48984522502869365,1205.0
LLM-WM (state output),8,4,0.6618318445980549,1580.8
LLM-WM (state output),128,1,2.2590322053680816,6017.666666666667
LLM-WM (state output),128,2,4.782578794596096,12032.333333333334
LLM-WM (state output),128,3,7.170742898869018,18049.0
LLM-WM (state output),128,6,14.933012514064709,36107.0
LLM-WM (state output),128,10,25.332891768154997,60215.666666666664
LLM-WM (state output),32,1,0.6079517615338167,1504.0
LLM-WM (state output),32,2,1.3199301480005186,3008.0
LLM-WM (state output),32,3,1.9777510594576597,4512.0
LLM-WM (state output),32,6,4.07547630307575,9025.0
LLM-WM (state output),32,10,6.897754658944905,15051.0
LLM-WM (state output),8,1,0.17114555649459362,376.0
LLM-WM (state output),8,2,0.3594824342677991,752.0
LLM-WM (state output),8,3,0.5402694639439384,1128.0
LLM-WM (state output),8,6,1.168289007929464,2256.3333333333335
LLM-WM (state output),8,10,1.9016715586185455,3761.6666666666665
LLM-WM (state output),8,8,1.571443859487772,3010.4
