policy_steps,policy_prompt_tokens,policy_output_tokens,final_context_tokens,wm_steps,wm_calls,run,task
3,3573,334,2175,0,0,baseline(mp1),task_20251121_134729_533_464ee3e0_2dcf2712
7,13391,236,3245,0,0,baseline(mp1),task_20251125_110309_032_464ee3e0_33f12828
4,3990,146,1641,0,0,baseline(mp1),task_20251125_150631_436_e5bf1251_77dd7cbb
5,7507,116,2159,0,0,baseline(mp1),task_20251126_054150_897_7ebc1127_60097647
7,13203,520,3248,0,0,baseline(mp1),task_20251126_055301_905_8e9e30d7_6aab00b8
6,10325,442,3110,0,0,baseline(mp1),task_20251126_070103_077_501bbb2c_7c7c4ea6
6,14230,563,4702,0,0,baseline(mp1),task_20251126_122314_557_be6c9105_daf0aae1
16,56543,2463,7258,0,0,baseline(mp1),task_20251126_145836_025_be6c9105_3b572b98
6,9761,1313,3465,0,0,baseline(mp1),task_20251126_182216_326_66392a82_d3ff64ca
5,5341,141,1617,0,0,baseline(mp1),task_20251127_070938_325_b393a327_a40b1f4e
11,23868,1226,4035,0,0,baseline(mp1),task_20251127_152838_396_99ba2325_8391501f
8,30363,1808,7549,0,0,baseline(mp1),task_20251127_173847_074_4d9df647_632c493d
10,26908,1118,5049,0,0,baseline(mp1),task_20251128_123025_545_13762b97_ad80b87c
3,1428,306,920,0,0,baseline(mp1),task_20251128_154607_365_1628b966_a730b5cf
8,22023,679,5774,0,0,baseline(mp1),task_20251201_113908_295_e81f6083_e770442c
13,21657,220,2943,0,0,baseline(mp1),task_20251203_051113_560_99ba2325_1ff9b6e5
8,20538,1185,5994,0,0,baseline(mp1),task_20251203_091910_549_bca89e7d_de59e44a
12,14126,153,2523,0,0,baseline(mp1),task_20251203_104951_949_701c5774_5a606512
6,9575,406,3072,0,0,baseline(mp1),task_20251203_125054_648_be6c9105_0ec24467
11,19869,219,3795,0,0,baseline(mp1),task_20251203_184109_641_6f5b66fc_e62d330e
6,16103,1006,5568,0,0,baseline(mp1),task_20251203_190727_704_e81f6083_f2fd8fe6
8,13337,536,3527,0,0,baseline(mp1),task_20251203_194320_796_df2c536d_c885488e
6,10018,304,3048,0,0,baseline(mp1),task_20251204_045548_265_4d9df647_18dae74a
16,110258,1635,12694,0,0,baseline(mp1),task_20251204_083406_171_e7cfb93b_89e0d558
5,10897,510,4576,0,0,baseline(mp1),task_20251204_092258_460_be6c9105_33990b9e
13,37177,1309,5586,0,0,baseline(mp1),task_20251204_115043_305_e81f6083_4acfd9ea
9,21896,771,4962,0,0,baseline(mp1),task_20251204_122816_238_13762b97_cd4a8a4f
5,9425,410,4294,0,0,baseline(mp1),task_20251204_125827_230_6f5b66fc_51e4bc12
14,24382,247,3304,0,0,baseline(mp1),task_20251204_132620_055_5c0cd3a2_048c6e95
6,5476,263,1474,0,0,baseline(mp1),task_20251204_145059_811_e5bf1251_3b195ec1
50,220907,1876,7598,0,0,baseline(mp1),task_20251204_160336_295_5c0cd3a2_26d1b04a
8,9645,102,1966,0,0,baseline(mp1),task_20251204_231522_245_e6427839_5d09c3c2
4,3362,198,1671,0,0,baseline(mp1),task_20251205_032409_945_0a0bf089_61f5be29
30,144123,3352,9914,0,0,baseline(mp1),task_20251205_101915_742_d4a463c3_8eac8077
16,55265,1035,6142,0,0,baseline(mp1),task_20251205_192805_864_464ee3e0_91f2c02f
9,12561,178,2395,0,0,baseline(mp1),task_20251206_091748_833_a8eea1c0_7775ff15
4,4086,66,1349,0,0,baseline(mp1),task_20251206_114027_879_5c0cd3a2_904991cc
9,11737,197,2202,0,0,baseline(mp1),task_20251209_094942_478_701c5774_dc4a4b13
6,8365,86,2313,0,0,baseline(mp1),task_20251209_141356_232_4a23b9c9_9d41f343
11,32185,133,4672,0,0,baseline(mp1),task_20251210_150413_088_8db296d5_81f04ff0
7,10434,287,2910,0,0,baseline(mp1),task_20251210_205620_593_391f1eff_ad65c160
9,27822,720,4705,0,0,baseline(mp1),task_20251211_194841_657_8ce75c22_43c6bc2f
2,1495,113,981,0,0,baseline(mp1),task_20251212_172511_458_e6427839_47076c15
6,4336,200,1757,0,0,baseline(mp1),task_20251215_113102_438_df2c536d_49cda522
9,18409,1127,3905,0,0,baseline(mp1),task_20251216_131651_690_764e5ead_f8619b02
15,41785,1399,5665,0,0,baseline(mp1),task_20251217_073807_153_761f6b82_cba63024
